epitope, glytoucan_id
112871,G71142DF
114066,G11009BX
114701,G53308XG
114702,G11533AI
114703,G19384RF
114704,G59246IF
114705,G51661YR
114706,G64539CK
114707,G69655JS
114708,G32374SR
114709,G71815PL
115005,G64799PD
115013,G78260AJ
115015,G28403NS
115136,G33059TI
116644,G47379VH
116872,G67369RN
116875,G27883LW
116876,G36858YQ
116877,G56626CM
116878,G22889AU
116881,G46598NX
116885,G28716NJ
116886,G62513AX
116887,G93723GS
117130,G82624IQ
117424,G83584AE
117702,G96044KA
117714,G23187IJ
117715,G00049MO
118701,G61406KC
118702,G63819MN
118703,G74724PV
118704,G39326NV
118705,G62939GO
118706,G79573XO
118707,G79216TC
118708,G04043HT
118710,G48244JI
122244,G26295XE
122681,G89005SR
122964,G46317GO
123886,G20624LQ
123887,G80513FH
123888,G92612ZM
123891,G68946MX
125331,G06870QV
125611,G70873CF
125612,G30999CC
125613,G99730WL
125614,G79676HF
125615,G30142SQ
127513,G64310EN
127517,G33761NS
128161,G53868KU
128162,G58142ME
128163,G42251UW
128164,G53842LV
130421,G14298VE
130422,G86924BZ
130644,G00052MO
130646,G00055MO
130648,G27025MB
130650,G34165VZ
130651,G67988RO
130652,G40696TO
130653,G39023AU
130654,G00051MO
130656,G53670DW
130657,G30068VP
130658,G45712HH
130659,G36348JQ
130660,G79021CI
130661,G02311JY
130662,G17406XM
130663,G58080YX
130665,G52867BM
130666,G51893BN
130667,G58452LU
130668,G94334ZU
130669,G37322FV
130671,G50887AY
130672,G12608PT
130675,G18625KA
130676,G98544DH
130677,G46677TE
130678,G48558GR
130679,G91237TK
130680,G40183QN
130681,G37184KW
130682,G92175CL
130683,G79389NT
130684,G02657AK
130685,G21856LC
130686,G68110IF
130693,G55914PY
130694,G09546QO
130695,G99023OP
130696,G44384WF
130697,G92536LD
130698,G69094OA
130699,G47050KS
130700,G45250ZA
130701,G61491DK
131173,G98609WL
131174,G14120VE
131175,G84175RS
131176,G44147XW
131177,G54338EI
131178,G60571ZF
131180,G17968PL
131182,G39211DH
131183,G09397XW
131184,G09681CX
131185,G09546QO
131187,G16715AO
131322,G03618RH
131794,G67100JJ
131799,G61737AA
131803,G93723GS
133751,G37673SW
133752,G93744EK
133753,G20831DQ
133754,G98291DP
133965,G71156AF
134282,G44151BN
134618,G74840NI
134620,G98890AB
134621,G43697DU
134622,G74840NI
134623,G63336AX
134624,G86123DJ
134625,G68562HM
134627,G78436BB
134833,G92568UR
135391,G45034IQ
135394,G99225ZM
135509,G32073VJ
135510,G23789CG
135511,G43439NP
135513,G32988JM
