epitope, pdb
997006, 6w41
1310987, 6wps
1310987, 6wpt
1087266, 6xc2
1087266, 6xc3
1087269, 6xc3
1087267, 6xc4
1087267, 6xc7
1087269, 6xc7
1075913, 6xcm
1075913, 6xcn
1310238, 6xdg
1310239, 6xdg
1311250, 6xe1
1181325, 6xey
1310989, 6xkp
1310988, 6xkq
1087186, 6yla
1087186, 6ym0
1087186, 6yor
1309149, 6yz5
1309149, 6z2m
1309150, 6z2m
1309149, 6z43
1307795, 6zcz
1307796, 6zcz
1307796, 6zdg
1307796, 6zdh
1307796, 6zer
1307796, 6zfo
1309148, 6zhd
1309094, 6zxn
1329039, 7a25
1329039, 7a29
1311242, 7a5r
1311242, 7a5s
1393662, 7akd
1338218, 7b17
1393661, 7b27
1346827, 7beh
1346822, 7bei
1346821, 7bej
1346821, 7bek
1346824, 7bel
1346826, 7bel
1346823, 7bem
1346816, 7ben
1346819, 7ben
1346817, 7beo
1346819, 7beo
1346815, 7bep
1346818, 7bep
1075135, 7bwj
1087140, 7byr
1075136, 7bz5
1083498, 7c01
1087268, 7c2l
1311251, 7cah
1311251, 7cai
1311251, 7cak
1334440, 7cdi
1334441, 7cdj
1311248, 7ch4
1311246, 7ch5
1311247, 7chb
1311244, 7chc
1311246, 7chc
1311244, 7che
1311247, 7che
1311244, 7chf
1311248, 7chf
1311244, 7chh
1392553, 7cjf
1335943, 7cm4
1392584, 7cr5
1334436, 7cwl
1334436, 7cwm
1334436, 7cwn
1334437, 7cwn
1334436, 7cwo
1334442, 7cws
1334443, 7cws
1334438, 7cwu
1334442, 7cwu
1347688, 7czp
1347686, 7czq
1347691, 7czr
1347691, 7czs
1347690, 7czt
1347687, 7czu
1347687, 7czv
1347689, 7czw
1347685, 7czx
1347695, 7czy
1347695, 7czz
1347691, 7d00
1347689, 7d03
1347693, 7d0b
1347692, 7d0c
1347693, 7d0d
1338773, 7d2z
1338772, 7d30
1335411, 7dcc
1335411, 7dcx
1335411, 7dd2
1335411, 7dd8
1397554, 7deo
1397555, 7det
1397553, 7deu
1556269, 7dk0
1335407, 7dk4
1335407, 7dk5
1335407, 7dk6
1556270, 7dpm
1406413, 7dzx
1406411, 7dzy
1392555, 7e23
1397527, 7e7x
1397518, 7e7y
1397524, 7e86
1397526, 7e88
1397522, 7e8c
1397523, 7e8c
1397525, 7e8c
1397522, 7e8f
1397523, 7e8f
1397525, 7e8f
1594763, 7eh5
1594764, 7eh5
1310038, 7jmo
1310037, 7jmp
1338222, 7jmw
1311243, 7jv2
1311243, 7jv4
1311243, 7jv6
1311253, 7jva
1329040, 7jvb
1311253, 7jvc
1311252, 7jw0
1311300, 7jwb
1311245, 7jx3
1311249, 7jx3
1311252, 7jx3
1311119, 7k43
1311114, 7k45
1311114, 7k4n
1314088, 7k8m
1314102, 7k8s
1314098, 7k8u
1314090, 7k8v
1314099, 7k8w
1314103, 7k8x
1314103, 7k8y
1314091, 7k8z
1314104, 7k90
1335958, 7kfv
1335957, 7kfw
1335960, 7kfx
1335959, 7kfy
1335961, 7kgj
1335956, 7kgk
27182, 7kgo
21347, 7kgp
37473, 7kgq
38881, 7kgr
2802, 7kgs
1330575, 7kgt
1314097, 7kkk
1314101, 7kkl
1335410, 7klg
1335409, 7klh
1335961, 7klw
1335962, 7klw
1338215, 7kmg
1338212, 7kmh
1338213, 7kmi
1335409, 7kmk
1335409, 7kml
1338217, 7kn5
1338220, 7kn5
1338216, 7kn6
1338219, 7kn6
1338216, 7kn7
1338221, 7kn7
1397235, 7kqb
1397230, 7kqe
1335408, 7ks9
1338217, 7ksg
1335409, 7kxj
1335409, 7kxk
1397232, 7kzb
1397233, 7kzb
1347915, 7l2c
1347914, 7l2d
1347910, 7l2e
1347911, 7l2f
1391796, 7l56
1391788, 7l57
1391796, 7l58
1391788, 7l5b
1346810, 7laa
1346802, 7lab
1346803, 7lcn
1346809, 7ld1
1392554, 7ldj
60242, 7lgd
1346808, 7ljr
1346701, 7lm8
1346704, 7lm8
1338779, 7lop
1338790, 7lop
1347913, 7lqv
1347912, 7lqw
1539322, 7lrs
1539322, 7lrt
1338777, 7ls9
1338776, 7lss
1392551, 7lx5
1392554, 7lx5
1346805, 7lxw
1346806, 7lxx
1346805, 7lxy
1346830, 7lxy
1346806, 7lxz
1346830, 7lxz
1346807, 7ly0
1346807, 7ly2
1346830, 7ly2
1346807, 7ly3
1392550, 7m3i
1556268, 7m42
1556271, 7m42
1397122, 7m53
1392578, 7m6d
1392580, 7m6d
1392587, 7m6e
1392579, 7m6f
1392577, 7m6g
1392589, 7m6h
1392588, 7m6i
1397235, 7m71
1397230, 7m7b
1391791, 7m7w
1391795, 7m7w
1391793, 7m8j
1595413, 7mdw
1595414, 7mdw
1595410, 7me7
1595413, 7me7
1595412, 7mej
1595414, 7mej
1392552, 7mf1
1397484, 7mjh
1397484, 7mji
1397483, 7mjj
1397483, 7mjk
1397483, 7mjl
1397480, 7mkl
1397480, 7mkm
233122, 7mlx
1539320, 7mlz
1539320, 7mm0
1397231, 7mmo
1397528, 7my2
1397531, 7my3
1397488, 7n0i
1397476, 7n0r
1539326, 7n62
1539325, 7n64
1309147, 7n6d
1309147, 7n6e
1596866, 7n8h
1596870, 7n8h
1596866, 7n8i
1595414, 7n9b
1595411, 7n9c
1595413, 7n9e
1595410, 7n9t
1346825, 7nd3
1346824, 7nd4
1346822, 7nd5
1346821, 7nd6
1346827, 7nd7
1346815, 7nd8
1346817, 7nd9
1346817, 7nda
1346828, 7ndb
1346820, 7ndc
1346820, 7ndd
1393658, 7nkt
1392002, 7ntc
1391789, 7nx6
1391790, 7nx6
1391789, 7nx7
1391790, 7nx7
1391789, 7nx8
1391790, 7nx8
1391789, 7nx9
1391790, 7nx9
1391789, 7nxa
1391790, 7nxa
1391789, 7nxb
1391790, 7nxb
1561285, 7olz
1561286, 7olz
1594756, 7r6w
1594759, 7r6w
1594755, 7r6x
1594756, 7r6x
1594760, 7r6x
1594758, 7r7n
1397475, 7r98
1391795, 7ra8
1391795, 7ral
1595221, 7rnj
