pdb,Type
6LU7,in both pdbe and pdbj
6LVN,in both pdbe and pdbj
6LXT,in both pdbe and pdbj
6VSB,in both pdbe and pdbj
6VW1,not in pdbe but in pdbj
6VWW,in both pdbe and pdbj
6VXS,in both pdbe and pdbj
6Y2E,in both pdbe and pdbj
6Y2F,in both pdbe and pdbj
6Y2G,in both pdbe and pdbj
5R7Y,in both pdbe and pdbj
5R7Z,in both pdbe and pdbj
5R80,in both pdbe and pdbj
5R81,in both pdbe and pdbj
5R82,in both pdbe and pdbj
5R83,in both pdbe and pdbj
5R84,in both pdbe and pdbj
6M03,in both pdbe and pdbj
6M17,not in pdbe but in pdbj
6VXX,in both pdbe and pdbj
6VYB,in both pdbe and pdbj
6VYO,in both pdbe and pdbj
6W01,in both pdbe and pdbj
6W02,in both pdbe and pdbj
6Y84,in both pdbe and pdbj
6LZG,not in pdbe but in pdbj
6M0J,not in pdbe but in pdbj
6M3M,in both pdbe and pdbj
6W4B,in both pdbe and pdbj
6W4H,in both pdbe and pdbj
5RE4,in both pdbe and pdbj
5RE5,in both pdbe and pdbj
5RE6,in both pdbe and pdbj
5RE7,in both pdbe and pdbj
5RE8,in both pdbe and pdbj
5RE9,in both pdbe and pdbj
5REA,in both pdbe and pdbj
5REB,in both pdbe and pdbj
5REC,in both pdbe and pdbj
5RED,in both pdbe and pdbj
5REE,in both pdbe and pdbj
5REF,in both pdbe and pdbj
5REG,in both pdbe and pdbj
5REH,in both pdbe and pdbj
5REI,in both pdbe and pdbj
5REJ,in both pdbe and pdbj
5REK,in both pdbe and pdbj
5REL,in both pdbe and pdbj
5REM,in both pdbe and pdbj
5REN,in both pdbe and pdbj
5REO,in both pdbe and pdbj
5REP,in both pdbe and pdbj
5RER,in both pdbe and pdbj
5RES,in both pdbe and pdbj
5RET,in both pdbe and pdbj
5REU,in both pdbe and pdbj
5REV,in both pdbe and pdbj
5REW,in both pdbe and pdbj
5REX,in both pdbe and pdbj
5REY,in both pdbe and pdbj
5REZ,in both pdbe and pdbj
5RF0,in both pdbe and pdbj
5RF1,in both pdbe and pdbj
5RF2,in both pdbe and pdbj
5RF3,in both pdbe and pdbj
5RF4,in both pdbe and pdbj
5RF5,in both pdbe and pdbj
5RF6,in both pdbe and pdbj
5RF7,in both pdbe and pdbj
5RF8,in both pdbe and pdbj
5RF9,in both pdbe and pdbj
5RFA,in both pdbe and pdbj
5RFB,in both pdbe and pdbj
5RFC,in both pdbe and pdbj
5RFD,in both pdbe and pdbj
5RFE,in both pdbe and pdbj
5RFF,in both pdbe and pdbj
5RFG,in both pdbe and pdbj
5RFH,in both pdbe and pdbj
5RFI,in both pdbe and pdbj
5RFJ,in both pdbe and pdbj
5RFK,in both pdbe and pdbj
5RFL,in both pdbe and pdbj
5RFM,in both pdbe and pdbj
5RFN,in both pdbe and pdbj
5RFO,in both pdbe and pdbj
5RFP,in both pdbe and pdbj
5RFQ,in both pdbe and pdbj
5RFR,in both pdbe and pdbj
5RFS,in both pdbe and pdbj
5RFT,in both pdbe and pdbj
5RFU,in both pdbe and pdbj
5RFV,in both pdbe and pdbj
5RFW,in both pdbe and pdbj
5RFX,in both pdbe and pdbj
5RFY,in both pdbe and pdbj
5RFZ,in both pdbe and pdbj
5RG0,in both pdbe and pdbj
6W41,not in pdbe but in pdbj
6W61,in both pdbe and pdbj
6W63,in both pdbe and pdbj
6W6Y,in both pdbe and pdbj
6W75,in both pdbe and pdbj
6YB7,in both pdbe and pdbj
5R8T,in both pdbe and pdbj
6M71,in both pdbe and pdbj
6W9C,in both pdbe and pdbj
6W9Q,in both pdbe and pdbj
6YI3,in both pdbe and pdbj
7BTF,in both pdbe and pdbj
5RG1,in both pdbe and pdbj
5RG2,in both pdbe and pdbj
5RG3,in both pdbe and pdbj
5RGG,in both pdbe and pdbj
5RGH,in both pdbe and pdbj
5RGI,in both pdbe and pdbj
5RGJ,in both pdbe and pdbj
5RGK,in both pdbe and pdbj
5RGL,in both pdbe and pdbj
5RGM,in both pdbe and pdbj
5RGN,in both pdbe and pdbj
5RGO,in both pdbe and pdbj
5RGP,in both pdbe and pdbj
5RGQ,in both pdbe and pdbj
5RGR,in both pdbe and pdbj
5RGS,in both pdbe and pdbj
6M2N,in both pdbe and pdbj
6M2Q,in both pdbe and pdbj
6WCF,in both pdbe and pdbj
6WEN,in both pdbe and pdbj
6YLA,not in pdbe but in pdbj
6WIQ,in both pdbe and pdbj
6WJI,in both pdbe and pdbj
6WJT,in both pdbe and pdbj
7BQY,in both pdbe and pdbj
7BV1,in both pdbe and pdbj
7BV2,in both pdbe and pdbj
6LZE,in both pdbe and pdbj
6M0K,in both pdbe and pdbj
6W37,in both pdbe and pdbj
6WEY,in both pdbe and pdbj
6WKP,in both pdbe and pdbj
6WKQ,in both pdbe and pdbj
6WLC,in both pdbe and pdbj
6YHU,in both pdbe and pdbj
6YM0,not in pdbe but in pdbj
6YNQ,in both pdbe and pdbj
6YOR,not in pdbe but in pdbj
7BUY,in both pdbe and pdbj
6WKS,in both pdbe and pdbj
6WNP,in both pdbe and pdbj
6WOJ,in both pdbe and pdbj
6WQ3,in both pdbe and pdbj
6WQD,in both pdbe and pdbj
6WQF,in both pdbe and pdbj
6WRH,in both pdbe and pdbj
6YWK,in both pdbe and pdbj
6YWL,in both pdbe and pdbj
6YWM,in both pdbe and pdbj
6WRZ,in both pdbe and pdbj
6WTC,in both pdbe and pdbj
6WVN,in both pdbe and pdbj
6YVA,in both pdbe and pdbj
6YYT,in both pdbe and pdbj
6YZ1,in both pdbe and pdbj
7BRO,in both pdbe and pdbj
7BRP,in both pdbe and pdbj
7BZ5,not in pdbe but in pdbj
6WTJ,in both pdbe and pdbj
6WTK,in both pdbe and pdbj
6WTM,in both pdbe and pdbj
6WTT,in both pdbe and pdbj
6WUU,in both pdbe and pdbj
6WX4,in both pdbe and pdbj
6WXC,in both pdbe and pdbj
6WXD,in both pdbe and pdbj
6YUN,in both pdbe and pdbj
6YVF,in both pdbe and pdbj
7C22,in both pdbe and pdbj
5RGT,in both pdbe and pdbj
5RGU,in both pdbe and pdbj
5RGV,in both pdbe and pdbj
5RGW,in both pdbe and pdbj
5RGX,in both pdbe and pdbj
5RGY,in both pdbe and pdbj
5RGZ,in both pdbe and pdbj
5RH0,in both pdbe and pdbj
5RH1,in both pdbe and pdbj
5RH2,in both pdbe and pdbj
5RH3,in both pdbe and pdbj
5RH4,in both pdbe and pdbj
5RH5,in both pdbe and pdbj
5RH6,in both pdbe and pdbj
5RH7,in both pdbe and pdbj
5RH8,in both pdbe and pdbj
5RH9,in both pdbe and pdbj
5RHA,in both pdbe and pdbj
6WPS,in both pdbe and pdbj
6WPT,in both pdbe and pdbj
6WZO,in both pdbe and pdbj
6WZQ,in both pdbe and pdbj
6WZU,in both pdbe and pdbj
6X1B,in both pdbe and pdbj
6X29,in both pdbe and pdbj
6X2A,in both pdbe and pdbj
6X2B,in both pdbe and pdbj
6X2C,in both pdbe and pdbj
7BW4,in both pdbe and pdbj
7C01,not in pdbe but in pdbj
7C2I,in both pdbe and pdbj
7C2J,in both pdbe and pdbj
6M1V,in both pdbe and pdbj
6X4I,in both pdbe and pdbj
6YZ5,not in pdbe but in pdbj
6YZ7,not in pdbe but in pdbj
6Z2M,not in pdbe but in pdbj
6Z43,in both pdbe and pdbj
7BWJ,not in pdbe but in pdbj
7BZF,in both pdbe and pdbj
7C2K,in both pdbe and pdbj
5RHB,in both pdbe and pdbj
5RHC,in both pdbe and pdbj
5RHD,in both pdbe and pdbj
5RHE,in both pdbe and pdbj
